Model,Metric,Fold,Score
MLP,Accuracy,1,0.997531 
MLP,Accuracy,2,0.998766 
MLP,Accuracy,3,0.998660 
MLP,Accuracy,4,0.999013 
MLP,Accuracy,5,0.998730 
MLP,Accuracy,6,0.998766 
MLP,Accuracy,7,0.998730 
MLP,Accuracy,8,0.998625 
MLP,Accuracy,9,0.998730 
MLP,Accuracy,10,0.998589 
MLP,Accuracy,Mean,0.998614
MLP,Precision,1,0.996494 
MLP,Precision,2,0.998218 
MLP,Precision,3,0.998278 
MLP,Precision,4,0.998644 
MLP,Precision,5,0.998190 
MLP,Precision,6,0.998288 
MLP,Precision,7,0.998309 
MLP,Precision,8,0.998038 
MLP,Precision,9,0.998214 
MLP,Precision,10,0.998035 
MLP,Precision,Mean,0.998071
MLP,Recall,1,0.998067 
MLP,Recall,2,0.999058 
MLP,Recall,3,0.998759 
MLP,Recall,4,0.999174 
MLP,Recall,5,0.999007 
MLP,Recall,6,0.998985 
MLP,Recall,7,0.998886 
MLP,Recall,8,0.998926 
MLP,Recall,9,0.998982 
MLP,Recall,10,0.998851 
MLP,Recall,Mean,0.998869
MLP,F1-Score,1,0.997273
MLP,F1-Score,2,0.998636
MLP,F1-Score,3,0.998518
MLP,F1-Score,4,0.998908
MLP,F1-Score,5,0.998597
MLP,F1-Score,6,0.998635
MLP,F1-Score,7,0.998596
MLP,F1-Score,8,0.998480
MLP,F1-Score,9,0.998597
MLP,F1-Score,10,0.998441
MLP,F1-Score,Mean,0.998468
CNN,Accuracy,1,0.998625 
CNN,Accuracy,2,0.998589 
CNN,Accuracy,3,0.998907 
CNN,Accuracy,4,0.999118 
CNN,Accuracy,5,0.997849 
CNN,Accuracy,6,0.998871 
CNN,Accuracy,7,0.998942 
CNN,Accuracy,8,0.998695 
CNN,Accuracy,9,0.998766 
CNN,Accuracy,10,0.998695 
CNN,Accuracy,Mean,0.998706
CNN,Precision,1,0.998015 
CNN,Precision,2,0.997987 
CNN,Precision,3,0.998444 
CNN,Precision,4,0.998726 
CNN,Precision,5,0.997632 
CNN,Precision,6,0.998370 
CNN,Precision,7,0.998495 
CNN,Precision,8,0.998140 
CNN,Precision,9,0.998218 
CNN,Precision,10,0.998187 
CNN,Precision,Mean,0.998221
CNN,Recall,1,0.998950 
CNN,Recall,2,0.998899 
CNN,Recall,3,0.999141 
CNN,Recall,4,0.999327 
CNN,Recall,5,0.997608 
CNN,Recall,6,0.999139 
CNN,Recall,7,0.999168 
CNN,Recall,8,0.998980 
CNN,Recall,9,0.999058 
CNN,Recall,10,0.998931 
CNN,Recall,Mean,0.998920
CNN,F1-Score,1,0.998480
