Model,Metric,Fold,Score
MLP,Accuracy,1,0.988398 
MLP,Accuracy,2,0.988221 
MLP,Accuracy,3,0.988539 
MLP,Accuracy,4,0.986564 
MLP,Accuracy,5,0.989350 
MLP,Accuracy,6,0.988715 
MLP,Accuracy,7,0.988785 
MLP,Accuracy,8,0.986916 
MLP,Accuracy,9,0.987903 
MLP,Accuracy,10,0.988538 
MLP,Accuracy,Mean,0.988193
MLP,Precision,1,0.972780 
MLP,Precision,2,0.972952 
MLP,Precision,3,0.968208 
MLP,Precision,4,0.974705 
MLP,Precision,5,0.971059 
MLP,Precision,6,0.968164 
MLP,Precision,7,0.969926 
MLP,Precision,8,0.964263 
MLP,Precision,9,0.967911 
MLP,Precision,10,0.967375 
MLP,Precision,Mean,0.969734
MLP,Recall,1,0.942737 
MLP,Recall,2,0.947916 
MLP,Recall,3,0.945522 
MLP,Recall,4,0.932424 
MLP,Recall,5,0.951614 
MLP,Recall,6,0.947226 
MLP,Recall,7,0.948658 
MLP,Recall,8,0.942692 
MLP,Recall,9,0.939934 
MLP,Recall,10,0.945006 
MLP,Recall,Mean,0.944373
MLP,F1-Score,1,0.954559
MLP,F1-Score,2,0.957855
MLP,F1-Score,3,0.954749
MLP,F1-Score,4,0.948039
MLP,F1-Score,5,0.959650
MLP,F1-Score,6,0.955778
MLP,F1-Score,7,0.957392
MLP,F1-Score,8,0.951323
MLP,F1-Score,9,0.950840
MLP,F1-Score,10,0.954007
MLP,F1-Score,Mean,0.954419
CNN,Accuracy,1,0.988750 
CNN,Accuracy,2,0.987551 
CNN,Accuracy,3,0.988997 
CNN,Accuracy,4,0.988186 
CNN,Accuracy,5,0.988503 
CNN,Accuracy,6,0.987798 
CNN,Accuracy,7,0.986740 
CNN,Accuracy,8,0.987481 
CNN,Accuracy,9,0.988115 
CNN,Accuracy,10,0.987939 
CNN,Accuracy,Mean,0.988006
CNN,Precision,1,0.972935 
CNN,Precision,2,0.971946 
CNN,Precision,3,0.969694 
CNN,Precision,4,0.968249 
CNN,Precision,5,0.969544 
CNN,Precision,6,0.967488 
CNN,Precision,7,0.975465 
CNN,Precision,8,0.965766 
CNN,Precision,9,0.968684 
CNN,Precision,10,0.966097 
CNN,Precision,Mean,0.969587
CNN,Recall,1,0.943394 
CNN,Recall,2,0.948630 
CNN,Recall,3,0.946072 
CNN,Recall,4,0.946269 
CNN,Recall,5,0.951950 
CNN,Recall,6,0.946584 
CNN,Recall,7,0.934762 
CNN,Recall,8,0.943402 
CNN,Recall,9,0.941248 
CNN,Recall,10,0.944773 
CNN,Recall,Mean,0.944708
CNN,F1-Score,1,0.954983
CNN,F1-Score,2,0.957740
CNN,F1-Score,3,0.955663
CNN,F1-Score,4,0.955182
CNN,F1-Score,5,0.959010
CNN,F1-Score,6,0.954953
CNN,F1-Score,7,0.949670
CNN,F1-Score,8,0.952342
CNN,F1-Score,9,0.951998
CNN,F1-Score,10,0.953189
CNN,F1-Score,Mean,0.954473
Random Forests,Accuracy,1,0.988644 
Random Forests,Accuracy,2,0.989702 
Random Forests,Accuracy,3,0.988715 
Random Forests,Accuracy,4,0.988539 
Random Forests,Accuracy,5,0.990126 
Random Forests,Accuracy,6,0.988997 
Random Forests,Accuracy,7,0.989491 
